dateOfSale,price,address,county
05/05/2011,"€630,000.00","51 ARDGLAS, DUNDRUM, DUBLIN 16",Dublin
05/06/2011,"€260,000.00","57 Tramway Court, Tallaght, Dublin",Westmeath
05/07/2011,"€343,612.33","58 STRADABROOEY, GWEEDORE, DONEGAL",Waterford
05/08/2011,"€216,000.00","4 CHARLEVILLE COTTAGES, OLD YOUGHAL RD, CORK CITY",Galway
05/09/2011,"€275,428.00","41 CARTON SQ, MAYNOOTH, KILDARE",Cork
05/10/2011,"€300,000.00","43 CLONFERT RD, KIMMAGE, DUBLIN 12",Louth
05/11/2011,"€370,000.00","43 CONQUER HILL RD, CLONTARF, DUBLIN",Wicklow
05/12/2011,"€295,000.00","43 HAZELBROOK CRESENT, LETTERKENNY, DONEGAL",Galway
05/01/2012,"€252,000.00","44 THE OAKS, HERBERT PARK LANE, BALLSBRIDGE DUBLIN 4",Dublin
05/02/2012,"€280,000.00","48 Beechill Avenue, Donnybrook",Cork
05/03/2012,"€880,000.00","49 SMITHFIELD GATE, DUBLIN 7",Mayo
05/04/2012,"€398,230.07","5 Cluain Na Mara, Omeath",Tipperary
05/05/2012,"€315,000.00","61 FAIRWAY HEIGHTS, THE KERRIES, TRALEE",Clare
05/06/2012,"€655,000.00","68 RANELAGH VILLAGE, DUBLIN 6, DUBLIN",Dublin
05/07/2012,"€195,000.00","7 EAGLE HILL AVE, TERENURE, DUBLIN 6W",Galway
05/08/2012,"€237,500.00","7 The Mews, Emmett Street, Ballymote",Dublin
05/09/2012,"€550,000.00","72 CALTRAGH HEIGHTS, SLIGO, SLIGO",Dublin
05/10/2012,"€440,529.00","85 CORDUFF PARK, BLANCHARDSTOWN, CO. DUBLIN",Meath
05/11/2012,"€232,000.00","88 TEMPLEVILLE RD, TERENURE, DUBLIN 6W",Dublin
05/12/2012,"€475,000.00","9 Loftus Close, Belmont, Stepaside",Dublin
05/01/2013,"€325,000.00","9 RATHMILES GROVE, THE HERITAGE GOLF AND SPA RESORT, KILLENARD",Cork
05/02/2013,"€596,000.00","ABBEY ROSE HOUSE, THE VILLAGE, ABBEYDORNEY",Waterford
05/03/2013,"€525,000.00","AN TIGIN, KILNAP, OLD MALLOW ROAD",Laois
05/04/2013,"€615,000.00","Apartment 16 Cedar Grove, Firhouse Road, Templeogue",Cork
05/05/2013,"€682,819.00","APT 12, RIVERSIDE HOUSE, NEWBRIDGE ST",Dublin
05/06/2013,"€950,000.00","APT 83, 25 WOLFE TONE ST, DUBLIN 1",Dublin
05/07/2013,"€320,010.00","BANNA RD, ARDFERT, KERRY",Dublin
05/08/2013,"€370,044.00","CARRICKAVOHER, AUGHAVAS, LEITRIM",Westmeath
05/09/2013,"€295,000.00","CHAPEL ROAD, GRANGE, KILMALLOCK",Cork
05/10/2013,"€252,000.00","CREENAGH, LONGFORD, CO. LONGFORD",Offaly
05/11/2013,"€280,000.00","DRUMELLA, CHURCH AVENUE, PORTMARNOCK",Laois
05/12/2013,"€880,000.00","Innishmaan, Channel Road, Rush",Dublin
05/01/2014,"€398,230.07","ISKAHEEN, MUFF, CO DONEGAL",Limerick
05/02/2014,"€315,000.00","LISPHILLIP, BALLINAMEEN, BOYLE",Roscommon
05/03/2014,"€655,000.00","LOSKERAN, OLD PARISH, DUNGARVAN",Roscommon
05/04/2014,"€195,000.00","NO 27 MANOR COURT, CORK ROAD, CO WATERFORD",Cork
05/05/2014,"€237,500.00","RIVERSTOWN, KILLUCAN, WESTMEATH",Mayo
05/06/2014,"€232,000.00","ROSHAN FARM, FORQUAR, MILFORD",Cork
05/07/2014,"€475,000.00","TONBANE, RINDRUM PO, FANAD",Longford
05/08/2014,"€325,000.00","VERMONT, BALLYHOOLY RD, CORK",Waterford
05/09/2014,"€596,000.00","1 MARBLE COURT, PAULSTOWN, KILKENNY",Mayo
05/10/2014,"€525,000.00","10 CONNAGH, RALPH, FETHARD ON SEA",Clare
05/11/2014,"€615,000.00","10 KINVARA AVE, NAVAN RD, DUBLIN 7",Limerick
05/12/2014,"€682,819.00","107 MARIAN PARK, DUNDALK, CO LOUTH",Wexford
05/01/2015,"€950,000.00","11 ARD NA GREINE, TIRMACOOL, BUNCRANA",Louth
05/02/2015,"€320,010.00","11 RENMORE PARK, RENMORE, CO GALWAY",Meath
05/03/2015,"€370,044.00","11 ST GATIENS COURT, WHITECHURCH RD, RATHFARNHAM DUBLIN 14",Wexford
05/04/2015,"€295,000.00","117 LISMORE, CAPPAGH RD, BARNA",Kildare
05/05/2015,"€252,000.00","129 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin
05/06/2015,"€270,000.00","13 Ballymorris Manor, Portarlington",Kilkenny
05/07/2015,"€234,000.00","13 GLEANN CORA, NEWMARKET ON FERGUS, CLARE",Dublin
05/08/2015,"€165,000.00","130 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin
05/09/2015,"€157,500.00 **","14 Barnwell Way, Barnwell, Hansfield",Meath
05/10/2015,"€263,000.00","14 BROOKFIELD PARK, MAYNOOTH, KILDARE",Westmeath
05/11/2015,"€190,000.00 **","144 LITTLEPACE GALLOPS, CLONEE, DUBLIN 15",Dublin
05/12/2015,"€365,000.00","PARK RD, KENURE, RUSH",Limerick
05/01/2016,"€753,303.96","QUAY ST, BELMULLET, MAYO",Cork
05/02/2016,"€670,000.00","RIVERDALE HOUSE, KILLYNURE, CONVOY",Leitrim
05/03/2016,"€260,000.00","ST JUDES, COURT PLACE, CARLOW",Limerick
05/04/2016,"€771,000.00","STATION RD, PORTARLINGTON, LAOIS",Wexford
05/05/2016,"€400,000.00","THE TRESTLES, PROMENADE, LAHINCH",Waterford
05/06/2016,"€285,000.00","WOODNEYS COTTAGE, WOODNEYS LANE, CARLINGFORD",Cork
05/07/2016,"€325,991.19","'CARNA', 56A ROSEMOUNT EST, DUNDRUM",Limerick
05/08/2016,"€340,000.00","1 AYLSBURY COURT, BALLINCOLLIG, CORK",Dublin
05/09/2016,"€220,000.00","1 MOOREFIELD RD, NEWBRIDGE, KILDARE",Clare
05/10/2016,"€215,000.00","1 WELLMOUNT COURT, FINGLAS WEST, DUBLIN 11",Dublin
05/11/2016,"€335,000.00","10 Loftus Lane, Belmont, Atkins Village  Stepaside",Dublin
05/12/2016,"€383,259.00","10 WINDMILL PARK, CRUMLIN, DUBLIN 12",Louth
05/01/2011,"€145,000.00","104 KILLANE VIEW, EDENDERRY, OFFALY",Dublin
05/02/2011,"€302,000.00","11 Broadfield Lawns, Broadfield Manor, Rathcoole",Dublin
05/03/2011,"€250,000.00","11 KILLAKEE WALK, FIRHOUSE, DUBLIN 24",Westmeath
05/04/2011,"€630,000.00","110 HAMPTON WOOD AVE, HAMPTON WOOD, FINGLAS DUBLIN 11",Dublin
05/05/2011,"€260,000.00","1104  Kilkee Bay Resort, Kilkee",Dublin
05/06/2011,"€343,612.33","111 THE WILLOWS, RAHEEN, ATHENRY",Dublin
05/07/2011,"€216,000.00","12 BROOKHURST, COLLINS AVE, WATERFORD CITY",Donegal
05/08/2011,"€275,428.00","122 MEADOW MOUNT, CHURCHTOWN, DUBLIN 16",Dublin
05/09/2011,"€300,000.00","129 MEADOWBANK, BAILE NA NDEISE, CORK ROAD",Dublin
05/10/2011,"€370,000.00","13 ARD NA MARA, SALTHILL, GALWAY",Westmeath
05/11/2011,"€295,000.00","13 BIRCHVALE, BANDON, CORK",Cork
05/12/2011,"€252,000.00","13 THE DOWNS, POLLERTON BIG, CARLOW",Offaly
05/01/2012,"€280,000.00","134 BELVEDERE HILLS, MULLINGAR, WESTMEATH",Laois
05/02/2012,"€880,000.00","14 GAINSBOROUGH AVE, MALAHIDE, DUBLIN",Dublin
05/03/2012,"€398,230.07","14 GRAND CANAL COURT, RIALTO, DUBLIN 8",Limerick
05/04/2012,"€343,612.33","144 Walsh Road, Drumcondra",Roscommon
05/05/2012,"€216,000.00","156 CHERRY ORCHARD AVE, BALLYFERMOT, DUBLIN 10",Roscommon
05/06/2012,"€275,428.00","156 HARDMANS GARDENS, DROGHEDA, LOUTH",Cork
05/07/2012,"€300,000.00","16 FRIARY ST, DUNGARVAN, WATERFORD",Mayo
05/08/2012,"€370,000.00","16 THE GREEN, OCEAN LINKS, STRANDHILL",Cork
05/09/2012,"€295,000.00","163 BEECH PARK, LUCAN, DUBLIN",Longford
05/10/2012,"€252,000.00","168 CHARNWOOD, BRAY, WICKLOW",Waterford
05/11/2012,"€280,000.00","168 The Glen, Kilnacourt Woods, Portarlington",Mayo
05/12/2012,"€880,000.00","17 Carrigmore Lawns, Fortunestown Lane, Saggart",Clare
05/01/2013,"€398,230.07","17 THE SYCAMORES, GREENHILLS DROGHEDA, LOUTH",Limerick
05/02/2013,"€315,000.00","171, MOURNE ROAD, DRIMNAGH DUBLIN 12",Wexford
05/03/2013,"€655,000.00","1A FERNLEIGH VALE, CASTLEKNOCK, DUBLIN 15",Louth
05/04/2013,"€195,000.00","1A MOOREFIELD RD, NEWBRIDGE, KILDARE",Meath
05/05/2013,"€237,500.00","2 Carraig na Mara, An Rinn, Dungarvan",Wexford
05/06/2013,"€550,000.00","2 ENGLEBERG COURT, MOUNTTOWN LOWER, DUN LAOGHAIRE",Kildare
05/07/2013,"€440,529.00","2 LAR EASA COVE, STRANDHILL, SLIGO",Dublin
05/08/2013,"€232,000.00","20 ST LUKES CRESCENT, DUNDRUM RD, MILLTOWN DUBLIN 14",Kilkenny
05/09/2013,"€475,000.00","20 WENDON PARK, DELGANY, WICKLOW",Dublin
05/10/2013,"€325,000.00","201 SYCAMORE CRESCENT, ST. MARY'S ROAD, EDENDERRY",Dublin
05/11/2013,"€596,000.00","21 KILLEEN HEIGHTS, OAKPARK, TRALEE",Meath
05/12/2013,"€525,000.00","22 ASHINGTON GROVE, NAVAN RD, DUBLIN 7",Westmeath
05/01/2014,"€315,000.00","23 ASHGROVE COURT, SANDYFORD RD, DUNDRUM DUBLIN 16",Dublin
05/02/2014,"€655,000.00","23 TRAMORE HEIGHTS, TRAMORE, CO. WATERFORD",Limerick
05/03/2014,"€195,000.00","24 WOODLANE, ROSCHOILL, DROGHEDA",Cork
05/04/2014,"€237,500.00","25 Rathronan, Athea",Leitrim
05/05/2014,"€232,000.00","26 CASTLEKNOCK GLADE, CASTLEKNOCK, DUBLIN 15",Limerick
05/06/2014,"€475,000.00","26 CEIDE BHREANAINN, AN CHULOG, BAILE �THA CLIATH 5",Wexford
05/07/2014,"€325,000.00","27 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, WICKLOW",Waterford
05/08/2014,"€596,000.00","27 Clevedon, Kilmoney, Carrigaline",Cork
05/09/2014,"€525,000.00","27 Newtown, WATERFORD, WATERFORD",Limerick
05/10/2014,"€615,000.00","29 HEATHER PARK, PAIRC NA GLOINE, KENMARE",Dublin
05/11/2014,"€682,819.00","29 THE BAWN, MALAHIDE, THE HILL",Clare
05/12/2014,"€950,000.00","3 ARDFIELD AVE, GRANGE, DOUGLAS",Dublin
05/01/2015,"€320,010.00","3 GULISTAN PLACE, RATHMINES, DUBLIN 6",Dublin
05/02/2015,"€343,612.33","3 Longfield Avenue, Cashel Road, Clonmel",Louth
05/03/2015,"€216,000.00","3 SHELBOURNE PLACE, CAMPILE, WEXFORD",Dublin
05/04/2015,"€275,428.00","30 HILLSBROOK AVE, PERRYSTOWN, DUBLIN 12",Dublin
05/05/2015,"€300,000.00","30 SOMERTON, DONABATE, DUBLIN",Westmeath
05/06/2015,"€370,000.00","30B, SOUTHTERRACE COURT, SOUTH TERRACE",Dublin
05/07/2015,"€295,000.00","32 HARBOUR VIEW, ST LAURENCES RD, HOWTH",Dublin
05/08/2015,"€252,000.00","33 Henley Park, Churchtown",Dublin
05/09/2015,"€280,000.00","33 PAIRC BHRID, ATHY, CO. KILDARE",Donegal
05/10/2015,"€880,000.00","33 RAILWAY MEWS, DONAGHMEDE, DUBLIN 13",Tipperary
05/11/2015,"€398,230.07","36 LOWER RATHMINES ROAD, RATHMINES, DUBLIN 6",Tipperary
05/12/2015,"€315,000.00","39 FATIMA PARK, DUNDALK, LOUTH",Kildare
05/01/2016,"€655,000.00","4 GREALISHTOWN, BOHERMORE, GALWAY",Dublin
05/02/2016,"€195,000.00","4 HOLLYWOOD PARK, GOATSTOWN, DUBLIN 14",Dublin
05/03/2016,"€237,500.00","4 Loughmore Square, Killeen Caste, Dunsany",Galway
05/04/2016,"€550,000.00","40 JOHN ST SOUTH, PIMLICO, DUBLIN 8",Waterford
05/05/2016,"€440,529.00","41 Pomeroy Park, Rathangan",Sligo
05/06/2016,"€232,000.00","41 WOODSTOWN HEIGHTS, KNOCKLYON, DUBLIN 16",Tipperary
05/07/2016,"€475,000.00","43 GLEANN RIBH, LUSK, DUBLIN",Cork
05/08/2016,"€325,000.00","44 THE VIEW, DROGHEDA, CO. LOUTH",Clare
05/09/2016,"€596,000.00","47 Milltown Gate, Burgage M�r, Blessington",Limerick
05/10/2016,"€525,000.00","49 PORTACARRON, KNOCKNACARRA, GALWAY",Tipperary
05/11/2016,"€232,000.00","5 BEVERLY HEIGHTS, DOORADOYLE, LIMERICK",Waterford
05/12/2016,"€475,000.00","5 GRAND CANAL COURT, TULLAMORE, OFFALY",Cork
05/01/2011,"€325,000.00","5 Greenmount Buildings, Green Street, cork",Sligo
05/02/2011,"€596,000.00","5 SILVER QUAY, NORTH GATE STREET, ATHLONE",Cork
05/03/2011,"€525,000.00","5 ST KEVINS DR, PHILIPSTOWN, DUNLEER",Louth
05/04/2011,"€315,000.00","51 Fairgreen Park, Mullagh, Co. Cavan.",Wexford
05/05/2011,"€655,000.00","51 SILVERSPRINGS, DUNGARVAN, WATERFORD",Louth
05/06/2011,"€195,000.00","52 POLEBERRY, WATERFORD, WATERFORD",Dublin
05/07/2011,"€237,500.00","56 College Square, Wainsfort Manor Drive, Terenure",Wicklow
05/08/2011,"€232,000.00","56D GRIFFITH HALL, GLANDORE ROAD, DUBLIN 9",Louth
05/09/2011,"€475,000.00","58 ASSUMPTION RD, EDENDERRY, OFFALY",Wexford
05/10/2011,"€325,000.00","59 THE OAKS, KEATINGSTOWN RD, RATHNEW",Cork
05/11/2011,"€596,000.00","6 Owen Glin, Clifden",Limerick
05/12/2011,"€525,000.00","67 DEVENISH RD, KIMMAGE, DUBLIN 12",Cork
05/01/2012,"€615,000.00","68 THE CHASE, RAMSGATE, GOREY",Carlow
05/02/2012,"€682,819.00","7 Curragh Hall Green, Tyrrelstown, Dublin 15",Cork
05/03/2012,"€950,000.00","8 DROM ARD, CHURCH RD, BELMULLET",Wicklow
05/04/2012,"€320,010.00","8 SYCAMORE DR, PROSPECT WOOD, LONGFORD",Dublin
05/05/2012,"€216,000.00","85 AVONDALE CLOSE, AVONDALE, WATERFORD",Cork
05/06/2012,"€275,428.00","87 Alexandra Walk, Abbeyland, Clane",Cork
05/07/2012,"€300,000.00","87 ORCHARD PARK, CURRAGH CAMP, KILDARE",Dublin
05/08/2012,"€370,000.00","9 FRIARS WALK, DUNMORE, GALWAY",Laois
05/09/2012,"€295,000.00","9 THE VIEW, FIVE OAKS, DROGHEDA",Cork
05/10/2012,"€252,000.00","99 THE ELMS, KILNACOURT WOODS, PORTARLINGTON",Dublin
05/11/2012,"€280,000.00","APARTMENT 1, 300 HAROLD'S CROSS ROAD, HAROLDS CROSS",Cork
05/12/2012,"€880,000.00","APARTMENT 2, 300 HAROLDS CROSS ROAD, HAROLDS CROSS",Dublin
05/01/2013,"€398,230.07","APARTMENT 3, 300 HAROLDS CROSS ROAD, HAROLDS CROSS",Galway
05/02/2013,"€315,000.00","APT 55, DOCK MILL, BARROW ST DUBLIN 4",Cork
05/03/2013,"€655,000.00","APT 5, 30 PETER ST, DROGHEDA",Tipperary
05/04/2013,"€195,000.00","APT 73 RUSSEL HOUSE, 33 MOUNTJOY SQ, DUBLIN 1",Cork
05/05/2013,"€237,500.00","Apt. 10 Harcourt Hall, Charlotte Quay",Meath
05/06/2013,"€550,000.00","Apt. 7 The Ailsbury, Donnybrook Castle, Dublin 4",Kildare
05/07/2013,"€440,529.00","BALLINTOGHER, CO SLIGO",Clare
05/08/2013,"€232,000.00","BALLINVEALA, CRECORA, LIMERICK",Dublin
05/09/2013,"€475,000.00","BALROE, BALLYNACARGY, WESTMEATH",Laois
05/10/2013,"€325,000.00","Bellass, Foxford",Cork
05/11/2013,"€596,000.00","BERNING, CULLLINA PARK, BEAUFORT",Dublin
05/12/2013,"€525,000.00","COLLINSTOWN, CARBURY, CO KILDARE",Cork
05/01/2014,"€232,000.00","COOLRUSS, TINAHELY, WICKLOW",Sligo
05/02/2014,"€475,000.00","Cork Road, Newport",Dublin
05/03/2014,"€325,000.00","DEERPARK, PORTARLINGTON, CO LAOIS",Dublin
05/04/2014,"€596,000.00","DERRYGUILE, MOUNTMELLICK, LAOIS",Dublin
05/05/2014,"€525,000.00","EMLAGH CRAUGHWELL, CRAUGHWELL, GALWAY",Kildare
05/06/2014,"€315,000.00","FAHA KILMACTHOMAS, KILMACTHOMAS, WATERFORD",Dublin
05/07/2014,"€655,000.00","Fernlea, Barnhill Road, Dalkey",Dublin
05/08/2014,"€195,000.00","GORTAHOOSH, KILLARNEY, KERRY",Louth
05/09/2014,"€237,500.00","GORTRAHILLY, BALLYMAKEERA, MACROOM",Leitrim
05/10/2014,"€232,000.00","HARROW LODGE, CORNARONE EAST, INVERIN",Cork
05/11/2014,"€475,000.00","KILBEG, KILL, KILMACTHOMAS",Waterford
05/12/2014,"€325,000.00","KILFREE, CURTEEN, CO SLIGO",Dublin
05/01/2015,"€596,000.00","LISSDUFF, CRAUGHWELL, GALWAY",Dublin
05/02/2015,"€252,000.00","MEERU, BOHERLODE, BALLYNEETY",Dublin
05/03/2015,"€270,000.00","NO 6 LOUGH CARAGH, GLANNAGILLIAGH, CARAGH LAKE",Kerry
05/04/2015,"€234,000.00","TEERGONEAN, DOOLIN, CLARE",Dublin
05/05/2015,"€165,000.00","TONLEMONE, CLOGHAN, BIRR",Clare
05/06/2015,"€157,500.00 **","TUBBERDUFF, TARA HILL, GOREY",Cork
05/07/2015,"€263,000.00","UISCE DUBH, ANNAGHKEEN OWER, HEADFORD",Carlow
05/08/2015,"€190,000.00 **","VIA DOLOROSA, CARRICK RD, BOYLE",Cork
05/09/2015,"€365,000.00","Woodley Lodge, Rochestown",Cork
05/10/2015,"€753,303.96","WOODTOWN, DRUMCONRATH, NAVAN",Dublin
05/11/2015,"€670,000.00","YELLOW BRICK COTTAGE, WHEELAGOWER, BALLINDAGGIN",Monaghan
05/12/2015,"€260,000.00","BOG RD, KNOCKNAGEEHA, GNEEVEGUILLA",Wicklow
05/01/2016,"€771,000.00","1 BLACKROCK, SALTHILL, GALWAY",Cork
05/02/2016,"€400,000.00","10 Seachnaill PLace, Dunshaughlin",Dublin
05/03/2016,"€285,000.00","10 WALSHS TERRACE, WOODQUAY, GALWAY",Louth
05/04/2016,"€325,991.19","110 Rampart View, Rahardrum, Virginia",Dublin
05/05/2016,"€340,000.00","111 Rampart View, Virginia",Cork
05/06/2016,"€220,000.00","114 HAMPTON WOOD RD, ST MARGARETS, DUBLIN 11",Galway
05/07/2016,"€215,000.00","12 RADHARC NA FHIAIGH  COOLCOTTS, WEXFORD, WEXFORD",Cork
05/08/2016,"€335,000.00","13 FERNLEIGH CRESCENT, CASTLEKNOCK, DUBLIN 15",Wexford
05/09/2016,"€383,259.00","13 KILMANTIN HILL, WICKLOW, WICKLOW",Meath
05/10/2016,"€145,000.00","14  Bridgefield Grove, Curraheen, Bishopstown",Westmeath
05/11/2016,"€302,000.00","14 MERCHANT SQ, EASTWALL, DUBLIN 3",Cork
05/12/2016,"€250,000.00","16 KNOCKALTON, NENAGH, TIPPERARY",Galway
05/02/2012,"€630,000.00","100 LOWER DRUMCONDRA ROAD, DUBLIN 9",Wexford
05/03/2012,"€260,000.00","108 MOUNTAIN VIEW DRIVE, BRAY, CO. WICKLOW",Waterford
